,blueGoldDiff,blueExperienceDiff,blueGoldPerMin,blueTotalGold,blueTotalExperience,blueAvgLevel,blueKills,redDeaths,blueAssists,blueTotalMinionsKilled,blueCSPerMin,blueEliteMonsters,blueDragons,blueFirstBlood,redFirstBlood,redDragons,redTotalMinionsKilled,redCSPerMin,redEliteMonsters,redAssists,blueDeaths,redKills,redAvgLevel,redTotalExperience,redTotalGold,redGoldPerMin,redExperienceDiff,redGoldDiff,blueWins
0,643,-8,1721.0,17210,17039,6.6,9,9,11,195,19.5,0,0,1,0,0,197,19.7,0,8,6,6,6.8,17047,16567,1656.7,8,-643,0
1,-2908,-1173,1471.2,14712,16265,6.6,5,5,5,174,17.4,0,0,0,1,1,240,24.0,2,2,5,5,6.8,17438,17620,1762.0,1173,2908,0
2,-1172,-1033,1611.3,16113,16221,6.4,7,7,4,186,18.6,1,1,0,1,0,203,20.3,0,14,11,11,6.8,17254,17285,1728.5,1033,1172,0
3,-1321,-7,1515.7,15157,17954,7.0,4,4,5,201,20.1,1,0,0,1,0,235,23.5,0,10,5,5,7.0,17961,16478,1647.8,7,1321,0
4,-1004,230,1640.0,16400,18543,7.0,6,6,6,210,21.0,0,0,0,1,1,225,22.5,1,7,6,6,7.0,18313,17404,1740.4,-230,1004,0
5,698,101,1589.9,15899,18161,7.0,5,5,6,225,22.5,1,1,0,1,0,221,22.1,0,2,3,3,7.0,18060,15201,1520.1,-101,-698,1
6,2411,1563,1687.4,16874,16967,6.8,7,7,7,225,22.5,1,1,1,0,0,164,16.4,0,9,6,6,6.4,15404,14463,1446.3,-1563,-2411,1
7,-2615,-800,1530.5,15305,16138,6.4,5,5,3,209,20.9,0,0,0,1,1,157,15.7,1,11,13,13,6.6,16938,17920,1792.0,800,2615,0
8,-1979,-771,1640.1,16401,18527,7.2,7,7,8,189,18.9,0,0,0,1,1,240,24.0,2,5,7,7,7.2,19298,18380,1838.0,771,1979,0
9,-1548,-1574,1505.7,15057,16805,6.8,4,4,5,220,22.0,1,1,1,0,0,247,24.7,0,4,5,5,6.8,18379,16605,1660.5,1574,1548,1
10,331,-1585,1547.4,15474,16611,6.6,4,4,6,231,23.1,0,0,1,0,1,216,21.6,1,5,4,4,7.2,18196,15143,1514.3,1585,-331,0
11,-1505,-635,1669.5,16695,18507,7.0,11,11,7,157,15.7,1,0,1,0,0,188,18.8,0,9,11,11,7.0,19142,18200,1820.0,635,1505,0
12,3274,1659,1786.5,17865,19102,7.4,7,7,11,238,23.8,1,1,1,0,0,240,24.0,0,1,1,1,6.8,17443,14591,1459.1,-1659,-3274,1
13,-3414,-1141,1497.9,14979,17213,6.6,4,4,1,210,21.0,1,0,0,1,0,229,22.9,0,11,9,9,7.2,18354,18393,1839.3,1141,3414,0
14,-470,-187,1572.2,15722,17896,6.8,4,4,4,224,22.4,0,0,1,0,0,242,24.2,0,3,4,4,7.0,18083,16192,1619.2,187,470,1
15,-1996,-1804,1501.5,15015,16974,6.8,3,3,3,209,20.9,0,0,0,1,0,237,23.7,0,13,7,7,7.2,18778,17011,1701.1,1804,1996,0
16,5228,3378,1973.3,19733,20862,7.6,10,10,8,263,26.3,0,0,1,0,1,210,21.0,1,2,2,2,6.8,17484,14505,1450.5,-3378,-5228,1
17,-1975,-1345,1485.2,14852,16888,6.8,3,3,3,203,20.3,1,0,0,1,0,218,21.8,0,6,7,7,6.8,18233,16827,1682.7,1345,1975,0
18,882,512,1628.2,16282,17378,6.8,5,5,11,213,21.3,0,0,1,0,1,228,22.8,2,3,4,4,6.6,16866,15400,1540.0,-512,-882,1
19,-3155,-2773,1499.4,14994,17924,7.0,5,5,5,188,18.8,0,0,0,1,0,219,21.9,0,9,9,9,7.4,20697,18149,1814.9,2773,3155,0
20,2526,1625,1860.6,18606,19254,7.2,11,11,15,214,21.4,1,1,1,0,0,225,22.5,0,4,6,6,7.0,17629,16080,1608.0,-1625,-2526,1
21,-2835,-2821,1587.8,15878,16945,6.8,4,4,5,203,20.3,0,0,0,1,1,209,20.9,1,14,13,13,7.2,19766,18713,1871.3,2821,2835,0
22,-1254,-567,1577.3,15773,17562,7.0,4,4,3,238,23.8,0,0,0,1,1,231,23.1,1,10,6,6,7.0,18129,17027,1702.7,567,1254,0
23,406,1283,1590.6,15906,19219,6.8,4,4,4,238,23.8,2,1,0,1,0,220,22.0,0,3,3,3,7.0,17936,15500,1550.0,-1283,-406,0
24,-1020,493,1651.5,16515,17223,6.8,6,6,10,208,20.8,0,0,0,1,0,197,19.7,0,13,9,9,6.6,16730,17535,1753.5,-493,1020,1
25,-2472,-1067,1541.5,15415,16047,6.2,4,4,4,204,20.4,0,0,0,1,1,221,22.1,1,13,8,8,7.0,17114,17887,1788.7,1067,2472,0
26,1260,-55,1717.8,17178,17854,7.0,8,8,9,209,20.9,1,1,0,1,0,233,23.3,0,3,6,6,6.8,17909,15918,1591.8,55,-1260,1
27,1857,2015,1722.6,17226,18982,7.0,7,7,9,228,22.8,0,0,1,0,1,202,20.2,1,2,4,4,6.6,16967,15369,1536.9,-2015,-1857,0
28,1320,-413,1747.4,17474,17436,6.8,8,8,13,217,21.7,1,1,1,0,0,223,22.3,0,11,6,6,6.8,17849,16154,1615.4,413,-1320,0
29,-3282,-1647,1490.5,14905,17974,6.8,3,3,2,233,23.3,1,1,0,1,0,225,22.5,0,12,8,8,7.4,19621,18187,1818.7,1647,3282,0
30,2883,2111,1813.2,18132,18076,7.0,9,9,10,228,22.8,1,1,1,0,0,227,22.7,0,2,4,4,6.2,15965,15249,1524.9,-2111,-2883,1
31,1703,1696,1605.3,16053,17406,6.8,5,5,6,218,21.8,2,1,1,0,0,206,20.6,0,2,2,2,6.4,15710,14350,1435.0,-1696,-1703,1
32,608,-85,1643.8,16438,16989,6.8,6,6,7,203,20.3,0,0,0,1,1,206,20.6,1,4,4,4,6.8,17074,15830,1583.0,85,-608,0
33,71,-359,1563.4,15634,16355,6.8,5,5,4,201,20.1,0,0,1,0,1,222,22.2,1,4,4,4,6.8,16714,15563,1556.3,359,-71,0
34,275,872,1608.5,16085,19076,7.4,6,6,4,204,20.4,0,0,0,1,1,223,22.3,1,5,4,4,7.2,18204,15810,1581.0,-872,-275,1
35,-809,638,1498.1,14981,17082,6.8,3,3,6,235,23.5,0,0,0,1,1,218,21.8,2,7,4,4,6.8,16444,15790,1579.0,-638,809,0
36,-2771,-1125,1542.1,15421,19276,7.2,2,2,2,217,21.7,1,1,0,1,0,234,23.4,0,5,8,8,7.4,20401,18192,1819.2,1125,2771,0
37,-1730,-1236,1566.5,15665,17716,6.8,5,5,4,203,20.3,1,0,1,0,1,214,21.4,1,6,6,6,7.0,18952,17395,1739.5,1236,1730,0
38,-904,1377,1752.8,17528,19609,7.2,7,7,5,234,23.4,1,0,0,1,1,227,22.7,1,9,9,9,7.0,18232,18432,1843.2,-1377,904,0
39,-1683,-1363,1503.2,15032,16832,6.6,3,3,3,213,21.3,1,0,0,1,1,236,23.6,1,6,6,6,7.0,18195,16715,1671.5,1363,1683,0
40,-3025,-1833,1548.3,15483,17362,6.8,4,4,3,222,22.2,0,0,0,1,1,213,21.3,1,16,11,11,7.2,19195,18508,1850.8,1833,3025,0
41,3004,2300,1922.6,19226,20118,7.4,10,10,12,231,23.1,0,0,0,1,0,185,18.5,0,7,6,6,7.0,17818,16222,1622.2,-2300,-3004,1
42,1574,761,1694.5,16945,17806,6.8,9,9,14,204,20.4,1,1,0,1,0,194,19.4,0,6,6,6,6.8,17045,15371,1537.1,-761,-1574,1
43,-1036,-1423,1500.0,15000,16493,6.6,5,5,3,233,23.3,0,0,1,0,0,221,22.1,0,4,5,5,7.0,17916,16036,1603.6,1423,1036,1
44,16,433,1588.8,15888,19090,7.4,3,3,2,252,25.2,1,0,1,0,1,243,24.3,1,2,4,4,7.0,18657,15872,1587.2,-433,-16,0
45,-6386,-4210,1292.5,12925,15498,6.4,1,1,0,187,18.7,0,0,0,1,0,247,24.7,1,6,10,10,7.2,19708,19311,1931.1,4210,6386,0
46,5096,3310,1925.0,19250,19703,7.6,11,11,9,251,25.1,0,0,1,0,0,196,19.6,0,2,2,2,6.4,16393,14154,1415.4,-3310,-5096,1
47,2756,1683,1835.5,18355,18790,7.0,8,8,5,218,21.8,1,1,1,0,0,200,20.0,0,5,4,4,6.8,17107,15599,1559.9,-1683,-2756,1
48,-977,-1025,1397.8,13978,16429,6.6,2,2,2,180,18.0,1,0,0,1,0,218,21.8,0,1,3,3,6.8,17454,14955,1495.5,1025,977,1
49,-808,-1655,1585.1,15851,17366,6.8,5,5,8,206,20.6,0,0,0,1,0,241,24.1,0,6,5,5,7.2,19021,16659,1665.9,1655,808,0
50,-1559,-407,1647.4,16474,17408,6.6,7,7,5,209,20.9,0,0,0,1,1,206,20.6,1,13,9,9,6.8,17815,18033,1803.3,407,1559,0
51,544,75,1659.0,16590,18284,7.0,6,6,6,213,21.3,0,0,0,1,0,182,18.2,0,7,8,8,7.0,18209,16046,1604.6,-75,-544,1
52,1381,1017,1573.7,15737,18634,7.0,5,5,2,217,21.7,2,1,1,0,0,212,21.2,0,1,2,2,7.0,17617,14356,1435.6,-1017,-1381,1
53,2031,1449,1699.0,16990,19634,7.4,5,5,5,248,24.8,0,0,1,0,1,210,21.0,1,5,3,3,7.0,18185,14959,1495.9,-1449,-2031,1
54,131,370,1529.7,15297,19210,7.0,3,3,2,246,24.6,1,1,0,1,0,227,22.7,0,1,3,3,7.2,18840,15166,1516.6,-370,-131,0
55,-2699,-2749,1565.1,15651,17696,7.0,4,4,4,224,22.4,1,0,0,1,1,201,20.1,1,11,10,10,7.4,20445,18350,1835.0,2749,2699,0
56,-1672,-2698,1558.7,15587,16746,6.8,5,5,7,181,18.1,1,1,1,0,0,218,21.8,0,6,7,7,7.4,19444,17259,1725.9,2698,1672,0
57,1201,316,1777.7,17777,18131,7.2,10,10,11,213,21.3,1,1,1,0,0,234,23.4,0,5,6,6,6.8,17815,16576,1657.6,-316,-1201,1
58,-108,59,1642.6,16426,18407,7.0,7,7,5,222,22.2,2,1,1,0,0,247,24.7,0,4,5,5,6.8,18348,16534,1653.4,-59,108,1
59,4633,2269,2027.8,20278,19575,7.2,10,10,11,236,23.6,0,0,0,1,1,182,18.2,1,6,7,7,6.6,17306,15645,1564.5,-2269,-4633,0
60,-2262,-1391,1379.1,13791,16437,6.6,2,2,0,191,19.1,0,0,0,1,1,218,21.8,1,4,7,7,6.8,17828,16053,1605.3,1391,2262,0
